guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
michaelsanders@shaw.net,False,BASIC,37.89,27 Dec 2020,29 Dec 2020,131.23,"49380 Rivers Street
Spencerville, AK 68265",4075084747483975747
randy49@brown.biz,False,BASIC,24.37,30 Dec 2020,02 Jan 2021,114.43,"88394 Boyle Meadows
Conleyberg, TN 22063",180072822063468
webermelissa@neal.com,True,DELUXE,0.0,17 Sep 2020,18 Sep 2020,368.33,"0323 Lisa Station Apt. 208
Port Thomas, LA 82585",38983476971380
gsims@terry.com,False,BASIC,,28 Dec 2020,31 Dec 2020,115.61,"77 Massachusetts Ave
Cambridge, MA 02139",4969551998845740
misty33@smith.biz,False,BASIC,16.45,05 Apr 2020,,122.41,"1234 Corporate Drive
Boston, MA 02116",3558512986488983
garciacarol@reid-crawford.biz,True,BASIC,0.0,18 Oct 2020,20 Oct 2020,177.76,"653 Brianna Mill
Burtonview, TX 66595",4701079720447404938
phillipsmatthew@powers-martinez.com,False,BASIC,19.56,22 Nov 2020,24 Nov 2020,108.09,"923 Bonilla Extension Apt. 787
Brianside, TN 20966",6011956907055260
michael86@mann-king.com,False,BASIC,15.23,04 Mar 2020,05 Mar 2020,111.12,"993 Rebecca Landing
Jesseburgh, PA 05072",4266279461142102517
mariaanderson@fitzpatrick.com,False,BASIC,,06 Jan 2020,08 Jan 2020,124.23,"2506 Christopher Lock
Lake Paul, IL 17894",4779208902549
aaron44@porter.com,False,BASIC,37.1,22 Jan 2020,26 Jan 2020,114.44,"48130 Dougherty Mews
Lake Brendaland, CO 39494",676384499254
courtney10@mack-mccormick.com,False,BASIC,14.55,15 Jun 2020,16 Jun 2020,106.09,"4084 Heather Locks Apt. 091
Blackwellport, GA 62060",3576959406725080
jeremyhunt@nguyen.com,False,BASIC,4.54,23 Oct 2020,25 Oct 2020,116.36,"PSC 3287, Box 9500
APO AP 41046",675991525725
pdavidson@sanchez-hughes.com,False,BASIC,8.15,07 Mar 2020,09 Mar 2020,114.03,"241 Castro Fields Suite 715
East Timothy, OH 09119",4092078584581
hwaters@sexton.net,False,BASIC,17.94,12 Aug 2020,13 Aug 2020,136.73,"56954 Montgomery Loop
Williamshire, NJ 43500",4483421863642
michael21@miller.com,True,BASIC,0.0,01 Oct 2020,05 Oct 2020,83.8,"PSC 3906, Box 8892
APO AE 45779",4253047975942
tamara85@baker.net,False,BASIC,9.76,19 Jul 2020,21 Jul 2020,109.97,"2189 Cooper Falls
Calderonstad, MS 74354",563273068871
erinnguyen@mcgee-cole.biz,False,DELUXE,12.87,14 Jul 2020,16 Jul 2020,238.52,"0323 Lisa Station Apt. 208
Port Thomas, LA 82585",3509825543444962
roberto53@diaz.com,False,BASIC,12.31,02 Mar 2020,04 Mar 2020,228.68,"3654 Michelle Neck
Ryanport, IA 84925",3559348543878898
andrew80@bush.com,False,DELUXE,17.7,16 Jul 2020,19 Jul 2020,179.43,"PSC 7238, Box 7911
APO AP 10973",2247314498652894
tiffanykrause@martinez-briggs.com,False,BASIC,7.56,31 May 2020,02 Jun 2020,138.28,"703 Edwards Orchard Apt. 348
North William, AL 38402",2290513662982427
jamieclark@gray-barnes.org,False,BASIC,13.74,30 May 2020,01 Jun 2020,107.53,"77 Massachusetts Ave
Cambridge, MA 02139",180065036602337
jessica28@payne-roach.info,False,BASIC,10.76,13 Oct 2020,16 Oct 2020,108.53,"1673 Perez Forge
Jacksonside, NM 58594",4670439786825211106
david92@nichols.com,False,BASIC,9.76,22 May 2020,23 May 2020,108.4,"480 David Greens Apt. 032
Dominicbury, OH 38657",4249793726653
ujones@potter.com,False,BASIC,3.77,13 Sep 2020,17 Sep 2020,113.16,"PSC 3287, Box 9500
APO AP 41046",4010294825813198
jerryblake@brooks.com,False,BASIC,26.47,27 Jul 2020,30 Jul 2020,154.4,"94102 Thomas Causeway
Villafurt, MN 40012",213108431357494
pwilliams@jenkins-cantrell.com,False,BASIC,14.03,30 Nov 2020,01 Dec 2020,140.95,"5805 Norris Radial Suite 023
West Stephen, RI 08085",30213206437256
hubbardryan@fowler.com,True,BASIC,0.0,26 Aug 2020,27 Aug 2020,101.31,"1234 Corporate Drive
Boston, MA 02116",4551878586989
glen69@thompson.com,True,BASIC,0.0,05 Jul 2020,07 Jul 2020,93.97,"77376 Brett Station Apt. 553
Port Sandyton, OK 99254",343863920293179
oparker@hendricks.info,False,BASIC,,08 Dec 2020,10 Dec 2020,120.15,"8302 Nathaniel Pike
Rileyland, TX 71613",571167792928
warnerlogan@martinez.com,False,BASIC,17.32,05 Nov 2020,07 Nov 2020,118.07,"5678 Office Road
San Francisco, CA 94103",4704147652368811480
kelly94@smith.com,True,DELUXE,0.0,03 Dec 2020,06 Dec 2020,184.39,"776 Parker Locks Suite 350
Pamelamouth, WY 15909",4104817616762
stephanie26@parker.com,False,BASIC,28.41,05 May 2020,07 May 2020,110.68,"430 Pacheco Way Suite 104
Codyville, OK 98583",2255876870833937
spencershawn@clark.com,False,BASIC,30.86,14 Nov 2020,16 Nov 2020,119.96,"5678 Office Road
San Francisco, CA 94103",4196831074465
michaelmitchell@perry.com,False,BASIC,7.92,11 Aug 2020,15 Aug 2020,118.15,"742 Walton Inlet Apt. 760
East John, OH 44121",4372475126552
oreyes@knapp-bowman.com,False,BASIC,32.68,11 Aug 2020,13 Aug 2020,119.06,"28037 Janice Causeway
Pierceshire, MO 81176",4484017750569544
joneshaley@smith.info,False,BASIC,13.02,03 Oct 2020,05 Oct 2020,125.77,"776 Parker Locks Suite 350
Pamelamouth, WY 15909",3563866109003415
ajenkins@smith-horton.org,False,BASIC,19.13,12 Jul 2020,14 Jul 2020,124.48,"64885 Tapia Passage Suite 661
South Williamburgh, UT 73113",379626111119090
destiny51@underwood.biz,False,BASIC,27.45,28 Jan 2020,29 Jan 2020,176.31,"PSC 6601, Box 6562
APO AE 40511",4026911632249
toddkaitlin@leon-collier.com,True,BASIC,0.0,20 Feb 2020,23 Feb 2020,98.41,"5678 Office Road
San Francisco, CA 94103",4942094262703149
stephanie54@ray.info,False,BASIC,9.51,18 May 2020,19 May 2020,195.73,"442 David View
Brittanyton, AR 48257",586471481935
kevin61@wagner.com,False,SUITE,,21 Jan 2020,22 Jan 2020,264.79,"5562 Andrews Burg Apt. 061
East Jacqueline, AR 85662",4506717789672128364
leslie70@taylor-davis.com,False,BASIC,,13 Sep 2020,,112.46,"4011 Butler Drive
Sharonview, MN 53592",4495106062613062000
grossnatalie@davis.com,False,DELUXE,15.64,05 Aug 2020,06 Aug 2020,197.21,"6535 Andre Mountain Suite 741
Melaniestad, VA 73781",2242995672400517
glynch@williams.com,False,BASIC,16.23,04 Jul 2020,06 Jul 2020,128.66,"40196 Smith Stravenue Suite 572
Greenshire, SC 67947",30277478142829
ogomez@vazquez.com,False,BASIC,6.68,13 Jul 2020,16 Jul 2020,126.3,"6403 Allen Dam
East Kevinburgh, NM 18948",4440004935964264
parker02@brooks-lee.com,False,BASIC,22.27,06 Sep 2020,08 Sep 2020,173.11,"82622 Christopher Skyway Apt. 066
Hopkinsview, SC 55350",4799286980280913
evansraymond@davis-rodriguez.com,False,BASIC,38.21,20 May 2020,25 May 2020,162.76,"PSC 8213, Box 6869
APO AP 90929",30145483229883
douglasayers@mcclain.net,False,BASIC,23.61,11 May 2020,13 May 2020,132.93,"77 Massachusetts Ave
Cambridge, MA 02139",30255137954032
